Feature 1 (Discrete),Feature 2 (Discrete),Feature 3 (Discrete),Feature 4 (Discrete),Feature 5 (Discrete),Feature 6 (Discrete),Feature 7 (Discrete),Feature 8 (Discrete),Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19 (Discrete),Feature 20 (Discrete),Feature 21 (Discrete),Feature 22 (Discrete),Feature 23 (Discrete),Feature 24,Target Variable (Discrete)
565,20,58,18,3,1,1,1,55.002,35782.3,35796.3,0.00016603,0.093,1436.231,3093.4,1426.3,6250.002,12.04,39,18,0,12,565,37605.3,12
795,0,202,2,3,0,1,3,0.001,493.1,800.2,0.02190005,64.782,97.653,3.5,,,,61,1,1,10,795,40971.1,15
562,20,58,18,3,1,1,1,48.045,35776.1,35796.5,0.00023703,0.043,1436.074,1825.4,,,43895.02,39,18,6,101,562,27807.2,3
735,0,181,18,3,1,1,1,32.501,35700.3,35874.2,0.00206003,5.091,1436.131,1425.2,598.2,1600.002,12.03,154,18,6,114,735,41384.5,14
197,2,71,28,3,1,7,1,128.004,35783.1,35791.4,9.5e-05,0.011,1436.104,2460.4,,,,62,24,0,19,197,36744.2,9
176,0,59,10,3,0,1,5,0.004,325.3,1486.3,0.07980003,81.005,103.114,490.1,,600.003,2.05,55,4,4,2,176,39265.1,8
891,33,228,57,3,0,4,0,0.004,661.4,696.4,0.00248005,98.205,98.304,100.1,,,,159,23,5,30,891,37790.5,7
76,0,27,10,1,0,0,0,0.004,613.4,715.2,0.00725005,97.904,98.004,12.1,12.3,,,28,1,5,11,76,40018.3,4
1090,3,276,2,2,0,1,0,0.004,631.3,634.5,0.00021405,98.021,97.362,1031.4,,,,249,1,4,84,1090,37168.4,13
731,20,58,18,3,1,1,1,55.004,35695.5,35880.4,0.00219003,30.973,1436.144,1432.2,615.3,1660.002,12.01,145,18,6,16,731,39635.2,14
169,4,56,25,3,0,1,0,0.004,702.4,703.3,7.07e-05,98.201,98.803,587.2,,550.001,3.05,53,2,4,47,169,29108.5,8
1152,0,289,2,1,0,1,3,0.005,494.1,800.3,0.02180005,64.783,97.674,2.5,,,,263,1,1,10,1157,40974.4,15
912,0,236,14,2,0,1,0,0.001,516.3,536.4,0.00145003,97.475,95.241,0.2,,,,205,12,10,63,912,40900.2,15
1076,0,273,18,0,0,1,0,0.004,501.2,517.2,0.00116003,97.501,94.801,2.3,,,,39,18,6,45,1076,41600.2,8
72,3,25,13,1,0,0,0,0.003,604.1,674.5,0.00499001,98.105,97.504,12.3,12.3,,,28,1,3,11,72,35684.4,4
566,3,155,2,2,1,12,1,,35749.2,35757.5,9.5e-05,0.034,1434.002,,600.3,,,12,1,1,102,566,40099.1,13
853,0,223,8,3,0,1,0,0.001,583.5,672.3,0.00636003,98.102,97.304,20.3,15.5,20.005,,198,40,3,11,853,35685.2,3
156,0,47,2,0,0,4,3,0.002,497.5,801.4,0.02170004,64.782,97.704,1.3,,,,48,1,1,10,156,40968.3,7
236,0,90,3,3,0,1,0,0.002,712.1,732.4,0.00141004,98.602,99.204,45.5,,120.003,1.01,81,3,9,66,236,25757.5,8
407,0,124,2,8,0,1,3,0.002,437.2,449.4,0.00088105,40.501,94.682,3.4,,,1.01,110,1,18,86,407,39395.3,8
70,3,24,12,1,0,1,0,0.005,694.3,850.4,0.01090001,98.201,100.301,12.3,12.4,,,27,10,3,30,70,28366.1,3
154,5,46,3,8,0,4,0,0.005,500.5,521.2,0.00153003,97.903,94.803,92.2,77.3,120.003,1.52,47,3,9,44,154,26959.3,7
888,0,59,10,3,0,1,0,0.004,772.2,786.3,0.00097903,98.605,100.401,74.4,,,,200,4,6,16,888,39089.3,13
1038,7,269,5,11,0,17,0,0.004,461.5,472.2,0.00080502,97.294,93.931,5900.4,,,3.02,236,6,3,122,1038,40360.3,17
214,3,78,2,0,0,1,3,0.005,479.3,791.4,0.02230005,64.602,97.401,3.5,,,1.03,68,1,4,10,214,38761.3,8
1281,0,344,14,3,0,0,0,0.004,477.3,493.2,0.00117001,97.422,94.313,67.3,,,,205,12,10,51,1286,40144.2,9
331,3,104,2,3,0,4,0,0.002,678.3,690.1,0.00085105,98.101,98.404,572.2,,600.002,5.02,89,1,4,47,331,26619.4,11
455,0,144,10,1,0,1,0,0.004,500.2,512.1,0.00087304,97.502,94.705,15.5,,,,123,4,19,45,455,41602.1,8
1006,14,77,15,3,0,1,0,0.004,708.5,728.2,0.00141001,98.304,99.203,130.1,,86.004,2.03,221,49,7,133,1006,36037.5,15
736,0,181,18,3,1,1,1,129.501,35774.2,35797.2,0.00027303,5.061,1436.053,1425.5,598.2,1600.001,12.03,154,18,6,16,736,41469.4,14
766,2,71,28,11,0,4,0,0.003,676.5,698.1,0.00156003,98.203,98.501,800.2,,955.004,3.03,164,44,7,59,766,29268.5,7
201,3,73,2,2,0,1,0,0.002,820.3,841.1,0.00146002,98.805,101.503,817.3,395.1,1174.003,3.01,64,1,4,57,201,27640.1,10
732,0,58,18,3,1,1,1,83.001,35690.5,35871.1,0.00215001,4.965,1435.803,1425.3,598.3,1660.004,12.03,145,18,6,114,732,40269.1,14
783,0,198,24,3,0,4,0,0.001,617.5,637.2,0.00143001,97.705,97.203,60.5,,14.005,,170,3,6,49,783,29709.4,7
71,3,25,13,1,0,0,0,0.002,559.2,662.3,0.00738003,98.181,97.004,12.4,12.1,,,28,1,3,11,71,35686.5,4
796,0,203,14,13,4,1,1,,,,,,,,,,,174,46,22,121,796,,16
733,0,58,18,3,1,1,1,111.703,35699.2,35834.5,0.00160004,30.044,1435.062,1425.3,598.3,1600.004,12.04,145,18,6,115,733,40547.2,14
