IP,Latency,AS,Dest,Source,NetName,NetRange
192.0.0.1,17.0466666666667,[AS6983],www.iith.ac.in,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
218.248.6.135,80.9666666666667,[AS9829],www.iith.ac.in,Jio,IIT-MEDAK,218.248.6.128 - 218.248.6.159
192.0.0.1,6.33333333333333,[AS6983],www.youtube.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
216.58.200.142,94.8266666666667,[AS15169],www.youtube.com,Jio,GOOGLE,216.58.192.0 - 216.58.223.255
192.0.0.1,21.5333333333333,[AS6983],www.ubuntu.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
185.125.190.20,413.806666666667,[AS41231],www.ubuntu.com,Jio,UK-CANONICAL-20151111,185.125.188.0 - 185.125.191.255
192.0.0.1,7.57333333333333,[AS6983],www.codeforces.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
104.26.7.164,41.26,[AS13335],www.codeforces.com,Jio,CLOUDFLARENET,104.16.0.0 - 104.31.255.255
192.0.0.1,9.04333333333333,[AS6983],www.chess.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
104.18.138.67,41.4866666666667,[AS13335],www.chess.com,Jio,CLOUDFLARENET,104.16.0.0 - 104.31.255.255
192.0.0.1,7.28666666666667,[AS6983],www.wikipedia.org,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
103.102.166.224,166.113333333333,[AS14907],www.wikipedia.org,Jio,WIKIMEDIA-AP,103.102.166.0 - 103.102.166.255
192.0.0.1,6.20333333333333,[AS6983],www.github.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
20.207.73.82,52.7266666666667,[AS8075],www.github.com,Jio,MSFT,20.192.0.0 - 20.255.255.255
192.0.0.1,11.4266666666667,[AS6983],www.zomato.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
192.0.0.1,7.04666666666667,[AS6983],www.olacabs.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
18.155.49.50,52.1566666666667,[AS16509],www.olacabs.com,Jio,AT-88-Z,18.32.0.0 - 18.255.255.255
192.0.0.1,6.62666666666667,[AS6983],www.zerodha.com,Jio,SPECIAL-IPV4-REGISTRY-IANA-RESERVED,192.0.0.0 - 192.0.0.255
104.17.217.15,34.6533333333333,[AS13335],www.zerodha.com,Jio,CLOUDFLARENET,104.16.0.0 - 104.31.255.255
