IP,Latency,AS,Dest,Source,NetName,NetRange
103.232.241.2,2.95,[AS59193],www.youtube.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
216.239.56.63,33.71,[AS15169],www.youtube.com,IITH,GOOGLE,216.239.32.0 - 216.239.63.255
142.250.182.142,33.6733333333333,[AS15169],www.youtube.com,IITH,GOOGLE,142.250.0.0 - 142.251.255.255
103.232.241.2,4.76,[AS59193],www.ubuntu.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,4.53,[AS55836],www.ubuntu.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
184.104.198.170,288.655,[AS6939],www.ubuntu.com,IITH,HURRICANE-11,184.104.0.0 - 184.105.255.255
216.66.89.222,294.785,[AS6939],www.ubuntu.com,IITH,HURRICANE-6,216.66.0.0 - 216.66.95.255
185.125.190.20,307.01,[AS41231],www.ubuntu.com,IITH,UK-CANONICAL-20151111,185.125.188.0 - 185.125.191.255
103.232.241.2,3.41,[AS59193],www.codeforces.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,5.21,[AS55836],www.codeforces.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
172.67.68.254,11.86,[AS13335],www.codeforces.com,IITH,CLOUDFLARENET,172.64.0.0 - 172.71.255.255
103.232.241.2,4.85,[AS59193],www.chess.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,6.16,[AS55836],www.chess.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
104.18.140.67,14.26,[AS13335],www.chess.com,IITH,CLOUDFLARENET,104.16.0.0 - 104.31.255.255
103.232.241.2,3.45,[AS59193],www.wikipedia.org,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,5.83,[AS55836],www.wikipedia.org,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
103.102.166.224,55.43,[AS14907],www.wikipedia.org,IITH,WIKIMEDIA-AP,103.102.166.0 - 103.102.166.255
103.232.241.2,3.59,[AS59193],www.github.com,IITH,3079306-AFIN,103.232.241.0 - 103.232.241.255
104.44.12.6,40.54,[AS8075],www.github.com,IITH,MSFT,104.40.0.0 - 104.47.255.255
104.44.235.254,37.41,[AS8075],www.github.com,IITH,MSFT,104.40.0.0 - 104.47.255.255
104.44.11.224,38.14,[AS8075],www.github.com,IITH,MSFT,104.40.0.0 - 104.47.255.255
20.207.73.82,35.3966666666667,[AS8075],www.github.com,IITH,MSFT,20.192.0.0 - 20.255.255.255
103.232.241.2,22.53,[AS59193],www.zomato.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,4.85,[AS55836],www.zomato.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
103.232.241.2,2.89,[AS59193],www.olacabs.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,4.59,[AS55836],www.olacabs.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
18.155.49.85,7.05,[AS16509],www.olacabs.com,IITH,AT-88-Z,18.32.0.0 - 18.255.255.255
103.232.241.2,3.93,[AS59193],www.zerodha.com,IITH,D3079306-AFIN,103.232.241.0 - 103.232.241.255
115.247.100.29,7.37,[AS55836],www.zerodha.com,IITH,RELIANCEJIO-IN,115.240.0.0 - 115.247.255.255
104.17.217.15,12.13,[AS13335],www.zerodha.com,IITH,CLOUDFLARENET,104.16.0.0 - 104.31.255.255
