IP,AS,Latency,Dest,Source,Org Name,Net Range
209.58.116.21,AS6453,10000,youtube.com,LA,TATAC-ARIN-8,209.58.0.0-209.58.127.255
142.251.67.62,AS15169,10000,youtube.com,LA,GOOGLE,142.250.0.0-142.251.255.255
108.170.242.238,AS15169,10000,youtube.com,LA,GOOGLE,108.170.192.0-108.170.255.255
142.251.68.54,AS15169,10000,youtube.com,LA,GOOGLE,142.250.0.0-142.251.255.255
172.253.50.99,AS15169,10000,youtube.com,LA,GOOGLE,172.253.0.0-172.253.255.255
142.251.55.247,AS15169,10000,youtube.com,LA,GOOGLE,142.250.0.0-142.251.255.255
142.250.182.78,AS15169,10000,youtube.com,LA,GOOGLE,142.250.0.0-142.251.255.255
212.113.9.30,AS9057,10000,ubuntu.com,LA,LONDON-E3-CUST1,212.113.8.0-212.113.9.255
185.125.190.20,AS41231,10000,ubuntu.com,LA,UK-CANONICAL-20151111,185.125.188.0-185.125.191.255
172.70.204.2,AS13335,10000,codeforces.com,LA,CLOUDFLARENET,172.64.0.0-172.71.255.255
104.26.7.164,AS13335,10000,codeforces.com,LA,CLOUDFLARENET,104.16.0.0-104.31.255.255
212.187.174.238,AS3356,10000,chess.com,LA,MANCHESTER-CUSTOMER-LINKS2,212.187.174.0-212.187.174.255
103.102.166.224,AS14907,10000,wikipedia.org,LA,WIKIMEDIA-AP,103.102.166.0-103.102.166.255
38.104.85.74,AS174,10000,github.com,LA,COGENT-A,38.0.0.0-38.255.255.255
116.51.17.26,AS2914,10000,olacabs.com,LA,NTT-GIN,116.51.16.0-116.51.31.255
52.93.8.25,"AS16509,",10000,olacabs.com,LA,AT-88-Z,52.84.0.0-52.95.255.255
52.93.115.7,"AS16509,",10000,olacabs.com,LA,AT-88-Z,52.84.0.0-52.95.255.255
52.93.115.7,"AS16509,",10000,olacabs.com,LA,AT-88-Z,52.84.0.0-52.95.255.255
172.70.204.2,AS13335,10000,zerodha.com,LA,CLOUDFLARENET,172.64.0.0-172.71.255.255
104.17.218.15,AS13335,10000,zerodha.com,LA,CLOUDFLARENET,104.16.0.0-104.31.255.255
