IP,Latency,AS,Dest,Source
182.79.27.25,43.57,[AS9498],www.iith.ac.in,Airtel
115.247.100.30,63.5,[AS55836],www.iith.ac.in,Airtel
182.79.27.25,56.15,[AS9498],www.youtube.com,Airtel
172.217.31.206,63.88,[AS15169],www.youtube.com,Airtel
182.79.27.25,151.97,[AS9498],www.ubuntu.com,Airtel
116.119.112.90,379.64,[AS55536],www.ubuntu.com,Airtel
184.105.223.254,208.51,[AS46841],www.ubuntu.com,Airtel
184.104.198.170,204.92,[AS6939],www.ubuntu.com,Airtel
216.66.89.222,200.34,[AS6939],www.ubuntu.com,Airtel
185.125.190.21,196.79,[AS41231],www.ubuntu.com,Airtel
125.18.92.93,48.95,[AS9498],www.codeforces.com,Airtel
116.119.104.146,63.47,[AS55536],www.codeforces.com,Airtel
162.158.226.17,76.26,[AS13335],www.codeforces.com,Airtel
172.67.68.254,87.55,[AS13335],www.codeforces.com,Airtel
125.18.92.93,41.620000000000005,[AS9498],www.chess.com,Airtel
116.119.55.54,58.05,[AS55536],www.chess.com,Airtel
162.158.52.19,76.35,[AS13335],www.chess.com,Airtel
104.18.139.67,71.58,[AS13335],www.chess.com,Airtel
125.18.92.93,50.75,[AS9498],www.wikipedia.org,Airtel
116.119.119.205,93.12,[AS55536],www.wikipedia.org,Airtel
103.102.166.224,78.85,[AS14907],www.wikipedia.org,Airtel
182.79.27.25,57.74,[AS9498],www.github.com,Airtel
104.44.28.114,102.98,[AS8075],www.github.com,Airtel
104.44.11.254,73.85,[AS8075],www.github.com,Airtel
20.207.73.82,93.78999999999999,[AS8075],www.github.com,Airtel
182.79.27.25,54.455,[AS9498],www.zomato.com,Airtel
116.119.35.172,75.80000000000001,[AS55536],www.zomato.com,Airtel
184.28.173.90,88.02,[AS9498],www.zomato.com,Airtel
125.18.92.93,44.86,[AS9498],www.olacabs.com,Airtel
116.119.35.162,91.42,[AS55536],www.olacabs.com,Airtel
52.93.115.6,145.91500000000002,[AS16509],www.olacabs.com,Airtel
18.155.49.85,226.65,[AS16509],www.olacabs.com,Airtel
182.79.27.25,53.75,[AS9498],www.zerodha.com,Airtel
104.17.218.15,63.76,[AS13335],www.zerodha.com,Airtel
