IP,Latency,AS,Dest,Source
103.232.241.2,2.95,[AS59193],www.youtube.com,IITH
216.239.56.63,33.71,[AS15169],www.youtube.com,IITH
142.250.182.142,33.67333333333333,[AS15169],www.youtube.com,IITH
103.232.241.2,4.76,[AS59193],www.ubuntu.com,IITH
115.247.100.29,4.53,[AS55836],www.ubuntu.com,IITH
184.104.198.170,288.655,[AS6939],www.ubuntu.com,IITH
216.66.89.222,294.78499999999997,[AS6939],www.ubuntu.com,IITH
185.125.190.20,307.01,[AS41231],www.ubuntu.com,IITH
103.232.241.2,3.41,[AS59193],www.codeforces.com,IITH
115.247.100.29,5.21,[AS55836],www.codeforces.com,IITH
172.67.68.254,11.86,[AS13335],www.codeforces.com,IITH
103.232.241.2,4.85,[AS59193],www.chess.com,IITH
115.247.100.29,6.16,[AS55836],www.chess.com,IITH
104.18.140.67,14.26,[AS13335],www.chess.com,IITH
103.232.241.2,3.45,[AS59193],www.wikipedia.org,IITH
115.247.100.29,5.83,[AS55836],www.wikipedia.org,IITH
103.102.166.224,55.43,[AS14907],www.wikipedia.org,IITH
103.232.241.2,3.59,[AS59193],www.github.com,IITH
104.44.12.6,40.54,[AS8075],www.github.com,IITH
104.44.235.254,37.41,[AS8075],www.github.com,IITH
104.44.11.224,38.14,[AS8075],www.github.com,IITH
20.207.73.82,35.39666666666667,[AS8075],www.github.com,IITH
103.232.241.2,22.53,[AS59193],www.zomato.com,IITH
115.247.100.29,4.85,[AS55836],www.zomato.com,IITH
103.232.241.2,2.89,[AS59193],www.olacabs.com,IITH
115.247.100.29,4.59,[AS55836],www.olacabs.com,IITH
18.155.49.85,7.050000000000001,[AS16509],www.olacabs.com,IITH
103.232.241.2,3.93,[AS59193],www.zerodha.com,IITH
115.247.100.29,7.37,[AS55836],www.zerodha.com,IITH
104.17.217.15,12.13,[AS13335],www.zerodha.com,IITH
